record_id	name	mrp_id	cms_status	marketplace_status
rec1aWLp4ECXCOjIE	PortfolioStudios	6785eff59fa92514f168b760	Active	3️⃣Published🚀
rec1aae2EwlYq32JX	Zaitical	6578e81f970fed544d985070	Active	3️⃣Published🚀
rec1bblpcSo5KGeQU	Duxu Agency	66293f6b9ec0aae5d1863366	Active	3️⃣Published🚀
rec1btSypckLSQZ5j	Showly	6990d3a83d89896548aeb801	Active	2️⃣Scheduled📅
rec1c80vakSJZckho	Kasper	661ccc7f8475bd0a86177e24	Active	3️⃣Published🚀
rec1cZfpSKozI7XpH	Axiom	660c016a65162d1c69e46ed7	Active	3️⃣Published🚀
rec1d0SsoA8rwEQfC	Divine	64856043e99be775625dedd7	Active	3️⃣Published🚀
rec1dLvjsfaZjKQhK	FitFlow	67763fa72bc80405d0a61bf0	Active	3️⃣Published🚀
rec1dMzpxaDICMQa3	Split	65ddf7e526f8578bca7d61de	Active	3️⃣Published🚀
rec1eArUgYpEsapNA	Kindtail	67a950b57ea20dba516aecf2	Active	3️⃣Published🚀
rec1eYjAkQl2dfqhi	Lilstep	697315ac6de2c905180becf2	Active	3️⃣Published🚀
rec1fCD6JyKnPNT2B	Car Dealership 128	64493a0fd048da7fa724792c	Active	3️⃣Published🚀
rec1fdZ6k01viu5GM	Aloha	60ca916d7163a146d0ce7841	Active	3️⃣Published🚀
rec1fvVGpRQXprXWt	Edinburgh	63ceb48740bbf86d30ff93cf	Active	3️⃣Published🚀
rec1gTO9z5Av1lBhY	Roblex	669987ead15494478cedfdac	Active	3️⃣Published🚀
rec1gbGDtNmE5obWr	Caffeine X	63b9e448cfc084b45861bb6f	Active	3️⃣Published🚀
rec1gjiWC0bHFSh1Y	Odeo	63d6e38104687921cf9c2937	Active	3️⃣Published🚀
rec1gx92ao3cSiVmi	Pearl	64da4507308913f8ee4eadd4	Active	3️⃣Published🚀
rec1gxHviWxlwXlhH	Zaisync	667efb940e8d92b900cf7601	Active	3️⃣Published🚀
rec1hCCGtQC364Aqa	TinyPath	65bd559312254124b7a2d091	Active	3️⃣Published🚀
rec1hmaT0sBtqm0c3	Jobs	5f08e142c6636cbc5b743dba	Active	3️⃣Published🚀
rec1iXcwd12rh6CfG	HEPITEX	682e51244fa7d9f778cbe6d7	Active	3️⃣Published🚀
rec1idX0FEGCxkMWE	Saasteck	669e9afa6ea26a933250ce1e	Active	3️⃣Published🚀
rec1ijaizVm2WNpxm	Therapia	6610497aaae5b79d963b2c67	Active	3️⃣Published🚀
rec1kMICHslAbedus	Travor	6406257d7b5c6626cb7039d9	Active	3️⃣Published🚀
rec1kQosKMQ8ijubE	NexusStream	677edb414321e3a801772ff0	Active	3️⃣Published🚀
rec1kWdOiozd4CyQY	Seoul	6441434f7b9bca55180c1cf0	Active	3️⃣Published🚀
rec1l69i2RARkHmRq	Sasky Archived t9hfb1u1	63b9e13da5f15fc8d8681961	Archived	4️⃣Delisted☠️
rec1lPZ7tBR5AcdGk	Niche	659703d7a1eb28dbcd8d21ce		3️⃣Published🚀
rec1lQsSTS3J4MTz7	Halmut	65b807a0e08b5c025429bc38	Active	3️⃣Published🚀
rec1lbIodJVG8LRCZ	Zylyf	6666f259989e70633b7a0a48	Active	3️⃣Published🚀
rec1mIGNv4p05Fv4T	Pet Grooming	670c4c99fb2237fb4f38d748	Active	3️⃣Published🚀
rec1mOdJMYW8Rixra	Loxpace	682bbd59d47825039e2967c1	Active	3️⃣Published🚀
rec1mdrkcsLPN8rrK	Code	60302c60f3cb2f3def7fbaf6	Active	3️⃣Published🚀
rec1mySgvSZYC4xmC	Concrete	61a13af3eeb118d2f2df9666	Active	3️⃣Published🚀
rec1nVfWEfvdcoC2V	SparkWise	67610ab66a8a60e7ecd3a401	Active	3️⃣Published🚀
rec1nXgC0dpjnjjzQ	NFT Zone	6697d57abccbfda8a8cd1c88	Active	3️⃣Published🚀
rec1oHD23ToZbjENG	Kenter	6733466f7ca322ef13468f49	Active	3️⃣Published🚀
rec1oHyDw2XiPlTwt	Hisaab	644f8835b9f2362e7e9024cc	Active	3️⃣Published🚀
rec1p0dF9izTsvR18	Dennis.C	67fc0bd22fc5651581a2526c	Active	3️⃣Published🚀
rec1pTh5NnJSDM2L5	Aaing	6584afa86e3eb3737dce4683	Active	3️⃣Published🚀
rec1pb89prEQyszCg	Zohgeni	686e0db2f8990d1f2619965d	Active	3️⃣Published🚀
